"go_description","NES","pval","padj"
"DNA replication",-3.25130838809643,2.39708090607855e-45,5.94955480888697e-42
"chromosome segregation",-2.8160352627486,9.00564987229772e-36,1.11760114915215e-32
"DNA-templated DNA replication",-3.33506121227465,4.26627942257734e-35,3.52963517561232e-32
"ribosome biogenesis",-2.98995875588127,1.15975240836227e-34,7.19626369388791e-32
"cell cycle checkpoint signaling",-3.03219478599655,1.00315149298047e-28,4.14970334262923e-26
"rRNA metabolic process",-2.87282622985645,8.53641051808181e-29,4.14970334262923e-26
"rRNA processing",-2.97873864033892,6.8073670251578e-28,2.11198561955521e-25
"DNA recombination",-2.79217237290295,6.65398882810964e-28,2.11198561955521e-25
"nuclear chromosome segregation",-2.79283894694396,1.0885147338612e-27,3.00188174382611e-25
"double-strand break repair",-2.76372503601174,7.58115517542125e-27,1.88164271453955e-24
"negative regulation of cell cycle process",-2.73945178283397,1.78285147023934e-25,4.02276122648548e-23
"regulation of cell cycle phase transition",-2.47242516116322,1.20238281168825e-24,2.48692844884187e-22
"mitotic sister chromatid segregation",-2.88185009806307,1.69894089211844e-24,3.24367022633691e-22
"sister chromatid segregation",-2.80983829337151,4.12970157206301e-24,7.32137092990028e-22
"recombinational repair",-2.9447396735774,1.26663644794671e-23,2.09586110920249e-21
"mitotic cell cycle checkpoint signaling",-3.00444442420879,4.07596518040671e-23,6.17782598670644e-21
"muscle cell development",2.86602031068517,4.2313876621277e-23,6.17782598670644e-21
"regulation of chromosome organization",-2.71892243870958,3.12971343792567e-22,4.31552708496195e-20
"muscle tissue development",2.44475300183296,3.40700153056464e-22,4.4506198941376e-20
"negative regulation of cell cycle",-2.49967895302189,3.74813608000924e-22,4.65143687529146e-20
"heart process",2.72588215652231,7.37497130562783e-22,8.71651370503251e-20
"regulation of blood circulation",2.67242040321526,1.18058690510671e-21,1.33191668112493e-19
"muscle cell differentiation",2.37873707749638,1.73097323870418e-21,1.86794590367991e-19
"mitotic cell cycle phase transition",-2.35196999968351,2.42519383792778e-21,2.50805462739032e-19
"mitotic nuclear division",-2.59004731748319,8.89948351180598e-21,8.83540723052098e-19
"muscle contraction",2.45537522428177,1.73555138732163e-20,1.6567840551278e-18
"RNA splicing, via transesterification reactions",-2.5039137848336,2.85485710915805e-20,2.62435383145566e-18
"cardiac muscle tissue development",2.66717052717014,4.1455760642276e-20,3.67475706836175e-18
"regulation of heart contraction",2.71574752301039,8.69191093405968e-20,7.19110764611204e-18
"striated muscle cell differentiation",2.48226692244231,8.63499542056282e-20,7.19110764611204e-18
"meiotic cell cycle",-2.58172667757506,1.21305658869609e-19,9.71227888110871e-18
"regulation of muscle system process",2.63295431879586,1.66986534470614e-19,1.2951893079877e-17
"DNA integrity checkpoint signaling",-2.87194692514739,3.30751859296274e-19,2.48765489325258e-17
"negative regulation of mitotic cell cycle phase transition",-2.7310786418842,3.92030383551651e-19,2.86182179992705e-17
"myofibril assembly",3.04114979063458,4.90931642934993e-19,3.48140667932758e-17
"regulation of mitotic cell cycle phase transition",-2.41551472189725,5.91973817946819e-19,4.08133060040001e-17
"protein-RNA complex organization",-2.58054485099525,1.5425114676154e-18,1.03473336827606e-16
"telomere organization",-2.7466655161104,1.7627377622388e-18,1.15134608575702e-16
"negative regulation of mitotic cell cycle",-2.58599536521541,5.80448182680114e-18,3.69403176772319e-16
"positive regulation of DNA metabolic process",-2.48299970953045,8.23191970537199e-18,5.10790617718332e-16
"cardiac muscle contraction",2.78069259934571,1.61892870787729e-17,9.80044159256449e-16
"muscle organ development",2.32939313566622,4.47426080299341e-17,2.64407507453087e-15
"RNA splicing",-2.16118364687825,1.42238375316064e-16,8.21013133801094e-15
"meiotic cell cycle process",-2.59346378630887,2.31174848812675e-16,1.30403630625696e-14
"chromosome separation",-2.86059497349642,2.39470526111178e-16,1.32081299068432e-14
"positive regulation of cell cycle process",-2.48095610420633,4.0725621793904e-16,2.19741289766238e-14
"regulation of striated muscle contraction",2.79669095523994,5.1035989450804e-16,2.69513459184884e-14
"RNA localization",-2.53438575773113,5.98742474927825e-16,3.0959975474393e-14
"cell cycle G2/M phase transition",-2.64184019983962,8.0342808393242e-16,4.06960919249034e-14
"generation of precursor metabolites and energy",2.17402781902707,8.70449399769318e-16,4.3209108204549e-14
"regulation of chromosome segregation",-2.7065471861583,8.90560222872219e-16,4.33405975131147e-14
"striated muscle contraction",2.47326331871074,2.3045515753592e-15,1.09998019423876e-13
"cellular component assembly involved in morphogenesis",2.71977463063883,3.93025997705122e-15,1.84054816283795e-13
"DNA biosynthetic process",-2.60000894650009,4.91643206468793e-15,2.25973784899175e-13
"cellular respiration",2.33056320272125,5.45605131355239e-15,2.46216715640673e-13
"regulation of DNA replication",-2.70040799099877,5.84086864833348e-15,2.58875642592209e-13
"mitotic DNA integrity checkpoint signaling",-2.79989833274414,6.35904745000261e-15,2.76897469665026e-13
"actomyosin structure organization",2.43623873894022,7.64626394382238e-15,3.27207363940813e-13
