"go_description","NES","pval","padj"
"chromosome segregation",-3.06981792673401,2.5694356294703e-46,6.36449205419794e-43
"nuclear chromosome segregation",-3.07556049489816,1.40306868138312e-38,1.737700561893e-35
"DNA replication",-2.98974872213171,7.02574571507816e-35,5.8009240454162e-32
"regulation of cell cycle phase transition",-2.72237101085477,3.32568002472523e-32,1.64754188424888e-29
"mitotic cell cycle phase transition",-2.71176041622884,2.72024450688997e-32,1.64754188424888e-29
"sister chromatid segregation",-3.06329814594279,4.33081952938934e-32,1.7879066623829e-29
"regulation of chromosome organization",-2.97862685105194,6.59336893531872e-31,2.33311069325492e-28
"ribosome biogenesis",-2.85116456838169,9.46319442699852e-31,2.93004157445942e-28
"DNA-templated DNA replication",-3.13735957217868,3.47169765036111e-29,9.55488342216053e-27
"mitotic sister chromatid segregation",-3.0924636625062,1.31091291230362e-28,2.95193753070552e-26
"mitotic nuclear division",-2.87319661842354,1.28126128778702e-28,2.95193753070552e-26
"double-strand break repair",-2.7735124850491,9.92051255710876e-28,2.0477591336632e-25
"cell cycle checkpoint signaling",-3.05210142494514,1.65326565750779e-27,3.15010694895907e-25
"regulation of mitotic cell cycle phase transition",-2.69412807888967,1.65583820949164e-26,2.92965088922199e-24
"rRNA metabolic process",-2.76017235722857,3.36192414638157e-26,5.5516574070581e-24
"negative regulation of cell cycle process",-2.735713125039,1.36323897511039e-25,2.11046433834277e-23
"DNA recombination",-2.69993555230629,7.58419733992347e-25,1.10506216535238e-22
"rRNA processing",-2.84452661119264,8.59928690362916e-25,1.18335742557164e-22
"regulation of chromosome segregation",-3.04764287357277,1.75621324041273e-24,2.28954747184333e-22
"positive regulation of cell cycle process",-2.84532163175181,2.93955441965774e-24,3.64063814874611e-22
"negative regulation of cell cycle",-2.55276918607194,3.84870662082909e-23,4.53964109513984e-21
"meiotic cell cycle",-2.70871375545567,7.62242009542585e-23,8.58215208016811e-21
"mitotic cell cycle checkpoint signaling",-2.96844417954586,1.35612659865945e-22,1.46048938473019e-20
"recombinational repair",-2.8959133326625,1.48681766760993e-22,1.53451973444575e-20
"RNA splicing, via transesterification reactions",-2.55222812332355,1.25500221933837e-21,1.24345619892046e-19
"muscle cell development",2.75879022467525,1.52083237097346e-21,1.44888530111587e-19
"chromosome separation",-3.10826470875262,1.62947331186874e-21,1.49489088648106e-19
"negative regulation of chromosome organization",-3.03015344093378,1.23160726944031e-20,1.08953257371559e-18
"regulation of mitotic nuclear division",-2.96371919057406,1.54227009582402e-20,1.31731138874348e-18
"regulation of sister chromatid segregation",-2.95335402732227,1.70598734470125e-20,1.408576884275e-18
"heart process",2.624807229611,3.17447266439668e-20,2.53650606119696e-18
"microtubule cytoskeleton organization involved in mitosis",-2.80348781810715,1.25640607203129e-19,9.72536825131717e-18
"regulation of nuclear division",-2.89324734918484,1.78997692680902e-19,1.33546209545639e-17
"spindle organization",-2.72764110202951,1.86895630815743e-19,1.33546209545639e-17
"positive regulation of cell cycle",-2.51627486375,1.88700740173491e-19,1.33546209545639e-17
"negative regulation of mitotic cell cycle",-2.62858958639631,3.67916810815729e-19,2.53147205664045e-17
"muscle cell differentiation",2.30808619786236,4.08482251212665e-19,2.73462307095614e-17
"meiotic cell cycle process",-2.72007819403067,5.05120315828375e-19,3.29258690080759e-17
"negative regulation of mitotic cell cycle phase transition",-2.71564798869688,1.28248845168307e-18,8.14544588415121e-17
"cell cycle G2/M phase transition",-2.76077663975508,1.38720634356388e-18,8.59027528251931e-17
"myofibril assembly",2.88724562032147,3.03140992460594e-18,1.83141521542656e-16
"mitotic sister chromatid separation",-3.00737496364478,3.92586306240467e-18,2.31532447751818e-16
"muscle contraction",2.36082152362446,4.16062901253901e-18,2.39671582885096e-16
"protein-RNA complex organization",-2.54903189251857,7.99300836315359e-18,4.48478425600436e-16
"positive regulation of DNA metabolic process",-2.47551659394621,8.1475692983527e-18,4.48478425600436e-16
"RNA splicing",-2.23533821481112,9.40283365351983e-18,5.06322151299318e-16
"regulation of blood circulation",2.5078511687844,1.23106710180856e-17,6.48798555570172e-16
"metaphase chromosome alignment",-2.86702654752399,1.72951003016858e-17,8.92499238484913e-16
"chromosome localization",-2.7746222791321,1.98912877773139e-17,1.00552489437564e-15
"striated muscle cell differentiation",2.37453417429935,3.02382665470513e-17,1.49800372474092e-15
"mitotic spindle organization",-2.75505233286124,3.96069323085372e-17,1.92365433976954e-15
"regulation of heart contraction",2.53068990741773,5.70154875459354e-17,2.71591082021696e-15
"muscle tissue development",2.25165494907182,8.32789284546543e-17,3.89211142985243e-15
"negative regulation of nuclear division",-2.9440475595927,1.25579678069814e-16,5.76038634405426e-15
"regulation of mitotic sister chromatid segregation",-2.94964446097637,2.40493698655722e-16,1.08309616649132e-14
"striated muscle contraction",2.44378954575999,1.20630243526655e-15,5.33573416456292e-14
"cardiac muscle contraction",2.59518459649323,1.47897906008363e-15,6.42707216110028e-14
"telomere organization",-2.58822240883075,2.45685865512718e-15,1.04924808426724e-13
"regulation of muscle system process",2.41162707419398,8.88894154105851e-15,3.73184884698338e-13
"cardiac muscle tissue development",2.35968233228397,1.04877664563654e-14,4.32969958540285e-13
"cell cycle DNA replication",-2.92756533925828,2.23737599401889e-14,8.65934427685124e-13
"regulation of cell cycle G2/M phase transition",-2.68495137312318,2.21798382281241e-14,8.65934427685124e-13
"DNA integrity checkpoint signaling",-2.59072392712132,2.19553184893531e-14,8.65934427685124e-13
